@relation v1

@attribute 'Candle body' numeric
@attribute 'Upper shadow' numeric
@attribute 'Lower shadow' numeric
@attribute 'is Bullish' numeric
@attribute RSI numeric
@attribute 'RSI SCALED' numeric
@attribute 'RSI EXTREME TOUCHED' numeric
@attribute 'RSI EXTREME SCALED' numeric
@attribute CCI numeric
@attribute 'CCI SCALED' numeric
@attribute 'CCI CHANNEL BREAK' numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
0.00001,0.00005,0.00001,0,4,4,0,0,0,0,0,0,-0.000033,0.000786,-9.28924,up
0.00001,0.00005,0.00001,-1,3,3,0,0,0,0,0,0,-0.000032,0.000785,-8.278618,up
0.00006,0.00004,0.00005,-1,3,3,0,0,0,0,0,0,-0.000032,0.000788,-19.286918,up
0.00003,0,0.00009,-1,3,3,0,0,-1,-1,0,0,-0.000033,0.000787,-19.689486,down
0.00017,0.00017,0.00017,0,3,3,0,0,0,0,0,0,-0.000033,0.000783,21.468882,down
0.00003,0.00003,0.00007,0,3,3,0,0,0,0,0,0,-0.000031,0.000787,26.56191,down
0,0.00002,0.00001,-1,3,3,0,0,0,0,0,0,-0.000028,0.000725,18.354542,down
0.00001,0.00008,0.00001,0,2,2,0,0,1,1,0,0,-0.000024,0.000678,20.792282,down
0.00021,0.00003,0,-1,2,2,0,0,0,0,0,0,-0.000024,0.000669,-42.121232,up
0.0002,0,0.00007,-1,2,2,-1,-2,-3,-3,-2,-1,-0.000027,0.00075,-88.374964,up
0.00003,0.00008,0.00005,0,2,2,-1,-1,-3,-3,-2,-1,-0.000033,0.000797,-68.861106,up
0.00026,0.00027,0.00026,0,3,3,0,0,0,0,0,0,-0.000035,0.000784,-0.254984,up
0.00005,0.00011,0.00007,0,3,3,0,0,0,0,0,0,-0.000034,0.000782,15.728325,up
0.00003,0.00002,0.00001,-1,3,3,0,0,0,0,0,0,-0.000032,0.000735,16.606326,down
0.00003,0.00003,0.00013,0,3,3,0,0,0,0,0,0,-0.000028,0.000705,24.693275,down
0.00004,0.00001,0.00001,-1,3,3,0,0,0,0,0,0,-0.000024,0.000619,16.142686,up
0,0.00003,0.00004,-1,3,3,0,0,0,0,0,0,-0.00002,0.000563,17.573292,up
0.00015,0.0002,0.00015,0,4,4,0,0,2,2,0,0,-0.000015,0.000608,66.002642,down
0.00018,0,0,-1,3,3,0,0,1,1,0,0,-0.00001,0.000609,12.976674,down
0.00005,0,0.00005,-1,3,3,0,0,0,0,0,0,-0.000008,0.000607,-7.254171,down
0.00023,0.00023,0.00023,0,3,3,0,0,1,1,0,0,-0.000003,0.000646,60.696825,down
0.00004,0.00003,0.00011,-1,3,3,0,0,2,2,0,0,0.000002,0.000671,49.173011,down
0.00024,0,0,-1,3,3,0,0,0,0,0,0,0.000004,0.000668,-25.766525,up
