@relation '3mdata-weka.filters.unsupervised.attribute.Remove-R1-7,9-12'

@attribute 'RSI EXTREME SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
0,-0.000126,0.00066,-54.887876,up
0,-0.000124,0.000651,-1.689075,up
0,-0.000121,0.000658,-28.273649,up
0,-0.000118,0.000667,-29.089184,up
0,-0.000115,0.000652,-37.282449,up
0,-0.000111,0.00058,-35.004228,up
0,-0.000106,0.000562,29.167369,up
0,-0.000098,0.000557,40.589162,up
0,-0.000088,0.000589,70.757412,up
0,-0.000078,0.000603,41.472717,up
0,-0.000066,0.000664,72.932602,down
0,-0.000053,0.000727,71.128317,up
0,-0.000041,0.000724,46.694036,up
1,-0.00003,0.000778,66.543005,up
0,-0.000019,0.000814,51.473318,up
0,-0.000012,0.000814,7.121928,up
0,-0.000004,0.000849,54.552999,up
0,0.000005,0.000918,67.901403,down
1,0.000014,0.000927,66.90496,down
0,0.000022,0.000855,42.440359,up
0,0.000029,0.000803,32.271325,up
0,0.000036,0.000839,59.488339,down
0,0.00004,0.000795,13.592166,up
0,0.000044,0.000749,35.497444,down
0,0.000048,0.000676,49.378632,down
0,0.00005,0.000549,27.164251,down
0,0.000051,0.000501,-9.773282,down
0,0.000051,0.000461,10.856106,down
0,0.000047,0.0005,-75.819905,down
0,0.000042,0.000492,-57.077903,down
0,0.000035,0.000538,-71.350079,down
0,0.000025,0.000642,-95.147709,up
0,0.000017,0.000667,-50.982478,down
0,0.000006,0.00075,-80.522598,up
0,-0.000002,0.000778,-46.647127,up
0,-0.000011,0.00081,-60.900467,up
0,-0.000018,0.000818,-30.807398,up
0,-0.000023,0.000808,-36.737602,up
0,-0.000027,0.000768,-18.877892,up
0,-0.000029,0.000754,-18.841858,up
0,-0.000029,0.000739,-3.652925,up
0,-0.000027,0.00069,44.328045,up
0,-0.00002,0.000736,66.701322,down
0,-0.000011,0.000776,74.843625,down
0,-0.000002,0.000768,60.248434,no
1,0.000007,0.000785,58.343949,up
0,0.000015,0.000819,54.21694,down
1,0.000022,0.000817,32.442309,no
0,0.000027,0.000835,40.601896,down
1,0.000032,0.000864,45.616245,down
1,0.000038,0.000911,60.706264,down
0,0.000042,0.000873,31.032413,down
0,0.000044,0.000857,12.712991,down
0,0.000042,0.000789,-29.420169,down
0,0.000038,0.000768,-38.930815,no
0,0.000032,0.000704,-30.978131,down
0,0.000027,0.000675,-22.222222,down
0,0.000021,0.000639,-43.795466,down
0,0.000014,0.000663,-71.456159,down
0,0.000007,0.000657,-51.171139,down
0,0.000001,0.000654,-39.291917,up
0,-0.000006,0.000703,-64.159486,up
0,-0.000013,0.000746,-68.404017,up
0,-0.00002,0.000749,-56.912672,up
-1,-0.000025,0.000736,-32.059181,down
0,-0.000028,0.000707,-10.323049,down
0,-0.000028,0.000673,12.330936,down
0,-0.000029,0.000674,-34.558599,up
0,-0.00003,0.000651,-25.492496,down
0,-0.000031,0.000609,-34.647534,down
0,-0.000032,0.000471,-31.211756,down
0,-0.000034,0.000392,-48.692061,down
0,-0.000035,0.000323,-3.099007,down
0,-0.000037,0.00035,-72.044122,down
0,-0.000039,0.000367,-54.237579,down
0,-0.000041,0.00037,-48.924503,down
0,-0.000043,0.000361,-59.873089,no
0,-0.000047,0.000452,-110.958965,up
0,-0.000052,0.000522,-87.534281,up
0,-0.000057,0.000548,-60.445279,up
-1,-0.000061,0.000553,-54.425063,up
0,-0.000063,0.000554,-16.615054,up
0,-0.000064,0.000557,-19.207895,up
0,-0.000064,0.000573,-40.69481,up
0,-0.000064,0.000565,-23.875348,up
0,-0.000061,0.000527,15.172865,up
0,-0.000056,0.000466,62.669025,up
0,-0.000051,0.000455,17.144928,up
0,-0.000044,0.000483,76.757366,up
0,-0.000036,0.000542,83.883438,up
0,-0.000025,0.000617,86.734981,up
1,-0.000015,0.000687,77.1547,down
1,-0.000003,0.000784,87.298601,down
1,0.000009,0.00086,72.782088,down
1,0.000021,0.000949,74.212239,down
1,0.000031,0.001003,58.402496,down
0,0.00004,0.001013,33.173154,up
1,0.000046,0.000979,37.398083,up
