@relation 2017-05-09

@attribute BBU numeric
@attribute BBM numeric
@attribute BBL numeric
@attribute RSI numeric
@attribute 'RSI EXTREME SCALED' numeric
@attribute CCI numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute Prediction {down,up,no}

@data
1.091765,1.091399,1.091033,4,0,3,1,0.000084,up
1.09183,1.091422,1.091013,4,0,3,1,0.000088,up
1.091896,1.091449,1.091003,3,0,3,1,0.000093,up
1.091995,1.091479,1.090964,4,0,3,1,0.000099,down
1.092045,1.091509,1.090974,4,0,3,0,0.000106,no
1.092085,1.091533,1.090982,4,0,2,0,0.000111,up
1.09212,1.091549,1.090977,4,0,2,0,0.000115,up
1.09216,1.091578,1.090995,4,0,2,0,0.00012,no
1.09214,1.091613,1.091086,4,0,1,0,0.000122,up
1.092141,1.091643,1.091145,4,0,1,0,0.000125,up
1.092143,1.091675,1.091206,4,0,1,0,0.000126,up
1.092172,1.091697,1.091221,4,0,1,0,0.000128,up
1.092187,1.091716,1.091246,4,0,1,0,0.000129,up
1.092196,1.091736,1.091276,4,0,1,0,0.000129,up
1.092263,1.091765,1.091267,4,0,2,0,0.000131,down
1.092315,1.091803,1.09129,4,0,2,0,0.000133,down
1.092342,1.091838,1.091335,4,0,3,0,0.000136,down
1.092321,1.091879,1.091437,4,0,2,0,0.000139,down
1.092318,1.09191,1.091502,4,0,2,0,0.000141,down
1.092299,1.091938,1.091577,3,0,2,0,0.000142,down
1.092311,1.091955,1.091599,4,0,2,0,0.000142,up
1.092313,1.091972,1.09163,4,0,1,0,0.000142,up
1.092325,1.091987,1.091649,4,0,1,0,0.000141,up
1.092325,1.091989,1.091652,3,0,0,0,0.000138,up
1.092324,1.091989,1.091654,3,0,-1,0,0.000133,up
1.092357,1.09201,1.091663,4,0,1,0,0.000129,up
1.092376,1.09203,1.091685,4,0,1,0,0.000127,up
1.092436,1.092054,1.091673,4,0,3,0,0.000126,down
1.092508,1.092088,1.091668,4,0,4,1,0.000127,down
1.092596,1.092124,1.091652,4,0,4,1,0.000131,down
1.092628,1.09215,1.091671,3,0,2,0,0.000133,up
1.092649,1.092172,1.091695,3,0,2,0,0.000135,down
1.092649,1.092194,1.091739,3,0,1,0,0.000136,up
1.092631,1.092213,1.091794,3,0,0,0,0.000135,up
1.092639,1.09222,1.091801,3,0,0,0,0.000133,up
1.092671,1.092234,1.091796,4,0,1,0,0.000132,down
1.092681,1.092242,1.091803,3,0,1,0,0.00013,down
1.092692,1.092253,1.091813,3,0,0,0,0.000128,down
1.092706,1.092265,1.091825,3,0,1,0,0.000125,down
1.092706,1.092275,1.091845,3,0,0,0,0.000122,down
1.092702,1.092278,1.091854,3,0,0,0,0.000117,down
1.092698,1.09228,1.091863,3,0,-1,0,0.00011,down
1.092698,1.092281,1.091864,3,0,-1,0,0.000103,down
1.092729,1.092274,1.091819,2,0,-3,0,0.000092,up
