@relation 2017-03-27

@attribute BBU numeric
@attribute BBM numeric
@attribute BBL numeric
@attribute RSI numeric
@attribute 'RSI EXTREME SCALED' numeric
@attribute CCI numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute Prediction {down,up,no}

@data
1.087086,1.086346,1.085606,3,0,-2,0,0.000187,up
1.087091,1.08634,1.085588,3,0,-2,0,0.000172,up
1.087092,1.086351,1.085611,3,0,0,0,0.00016,down
1.087083,1.086373,1.085663,3,0,0,0,0.000149,down
1.087051,1.086398,1.085745,2,0,0,0,0.00014,down
1.087043,1.086405,1.085767,2,0,0,0,0.000131,up
1.087042,1.086406,1.08577,2,0,-1,0,0.000122,up
1.087043,1.086394,1.085744,2,0,-1,0,0.000112,up
1.086935,1.086359,1.085784,2,0,-1,0,0.000103,up
1.08685,1.086335,1.085821,3,0,-1,0,0.000095,up
1.086808,1.086323,1.085838,3,0,0,0,0.000089,up
1.086733,1.086307,1.08588,3,0,1,0,0.000084,up
1.086639,1.086289,1.08594,3,0,0,0,0.00008,up
1.086703,1.086309,1.085915,3,0,3,1,0.000079,up
1.086807,1.086331,1.085855,4,0,4,1,0.000081,down
1.086894,1.086351,1.085809,4,0,4,1,0.000084,down
1.086991,1.086377,1.085763,5,1,4,1,0.00009,down
1.087023,1.086391,1.085759,4,0,2,0,0.000094,up
1.087057,1.086409,1.085761,4,0,1,0,0.000098,up
1.087077,1.086423,1.08577,3,0,1,0,0.0001,up
1.087025,1.08646,1.085895,3,0,1,0,0.000101,up
1.086999,1.08648,1.085962,3,0,0,0,0.000099,up
1.087035,1.086501,1.085966,4,0,1,0,0.000099,up
1.087063,1.086517,1.08597,4,0,1,0,0.000099,up
1.087139,1.086545,1.085952,4,0,2,0,0.000101,up
1.08725,1.086591,1.085933,4,0,3,1,0.000106,down
1.087329,1.086643,1.085957,4,0,3,1,0.000112,down
1.08736,1.08669,1.08602,4,0,2,0,0.000119,down
1.08737,1.086728,1.086086,4,0,1,0,0.000124,down
1.08743,1.086774,1.086117,4,0,2,0,0.000131,down
1.087436,1.086805,1.086174,3,0,1,0,0.000135,down
1.08742,1.086829,1.086239,3,0,0,0,0.000137,down
1.087388,1.086847,1.086305,3,0,0,0,0.000136,down
1.087389,1.086861,1.086332,3,0,0,0,0.000134,down
1.087391,1.086863,1.086336,3,0,0,0,0.000131,down
1.087396,1.086869,1.086342,3,0,0,0,0.000127,down
1.087393,1.086866,1.086338,3,0,0,0,0.000122,down
1.087394,1.086865,1.086336,3,0,-1,0,0.000115,down
1.087391,1.086869,1.086347,3,0,0,0,0.000108,down
1.08738,1.086877,1.086375,3,0,-1,0,0.0001,down
1.087363,1.086893,1.086423,3,0,0,0,0.000094,down
1.087331,1.086902,1.086473,2,0,0,0,0.000086,down
1.08735,1.086893,1.086437,2,0,-2,0,0.000077,down
1.087366,1.086886,1.086406,2,0,-2,0,0.000068,up
1.087367,1.086869,1.08637,2,0,-2,0,0.000059,up
1.087329,1.086839,1.086349,2,0,-2,0,0.00005,up
1.08728,1.086806,1.086332,2,0,-2,0,0.00004,up
1.087247,1.086776,1.086305,2,0,-2,0,0.000031,up
1.087213,1.086758,1.086304,3,0,-1,0,0.000023,down
1.087096,1.086734,1.086373,3,0,0,0,0.000018,down
1.087065,1.086728,1.086392,3,0,1,0,0.000015,down
1.087067,1.086729,1.086391,3,0,1,0,0.000014,down
1.087071,1.086731,1.086391,3,0,0,0,0.000014,down
1.087045,1.086718,1.08639,3,0,0,0,0.000013,down
1.087025,1.086707,1.086388,3,0,0,0,0.000011,down
1.087011,1.086704,1.086396,3,0,0,0,0.000011,down
1.087004,1.086701,1.086397,3,0,1,0,0.00001,down
1.087005,1.086699,1.086392,3,0,0,0,0.000009,down
1.087009,1.086686,1.086363,3,0,-2,0,0.000006,up
1.087004,1.086674,1.086344,3,0,-1,0,0.000002,down
1.086971,1.086663,1.086354,3,0,0,0,-0.000001,down
1.086974,1.086655,1.086336,3,0,-1,0,-0.000005,up
1.086996,1.086645,1.086293,3,0,-2,0,-0.00001,up
1.086996,1.086644,1.086291,3,0,-1,0,-0.000014,up
1.087007,1.086634,1.08626,3,0,-2,0,-0.000019,up
1.087008,1.086631,1.086253,3,0,-1,0,-0.000023,up
1.087016,1.08664,1.086264,3,0,0,0,-0.000025,up
1.087043,1.086658,1.086273,3,0,2,0,-0.000024,up
1.08707,1.086669,1.086267,3,0,2,0,-0.000021,up
1.087086,1.086674,1.086261,3,0,1,0,-0.000016,up
1.08709,1.086674,1.086259,3,0,1,0,-0.000011,up
1.087116,1.08668,1.086243,3,0,2,0,-0.000004,down
1.08716,1.086691,1.086221,3,0,2,0,0.000003,down
1.087238,1.086715,1.086191,4,0,3,1,0.000012,down
1.087315,1.086741,1.086166,4,0,3,0,0.000021,down
1.087334,1.086747,1.08616,4,0,2,0,0.000029,down
1.087348,1.086755,1.086162,3,0,1,0,0.000035,down
1.087364,1.086771,1.086178,4,0,1,0,0.00004,down
1.087382,1.086796,1.086211,4,0,1,0,0.000044,down
1.087389,1.086818,1.086247,4,0,1,0,0.000047,down
1.087388,1.086825,1.086262,4,0,0,0,0.000049,down
1.087376,1.086843,1.08631,4,0,0,0,0.000049,down
1.087328,1.086865,1.086402,3,0,0,0,0.000048,down
1.087317,1.086869,1.086422,3,0,-1,0,0.000044,up
1.087271,1.08688,1.08649,3,0,-2,0,0.00004,up
1.08725,1.086885,1.086521,3,0,-2,0,0.000034,up
1.087263,1.08688,1.086498,2,0,-2,0,0.000027,up
1.087274,1.086869,1.086465,2,0,-2,0,0.000021,up
1.087276,1.086861,1.086445,2,0,-1,0,0.000015,down
1.087276,1.086853,1.086431,2,0,-1,0,0.00001,down
1.087273,1.086842,1.08641,2,0,-1,0,0.000006,down
1.087255,1.086824,1.086393,2,0,-1,0,0.000001,down
1.087232,1.086807,1.086381,2,0,-1,0,-0.000003,down
1.087189,1.086777,1.086364,2,0,-2,0,-0.000007,down
1.087125,1.086742,1.086359,1,-1,-2,0,-0.000013,up
1.087114,1.086712,1.086309,1,-1,-3,0,-0.000019,up
1.087111,1.086685,1.086258,2,0,-3,-1,-0.000026,up
1.087102,1.086655,1.086207,1,-2,-3,-1,-0.000034,up
1.087034,1.086629,1.086225,2,0,-1,0,-0.00004,up
1.086969,1.086607,1.086245,3,0,-1,0,-0.000044,down
1.086942,1.086593,1.086245,3,0,-1,0,-0.000048,down
1.086891,1.08658,1.08627,3,0,0,0,-0.000049,down
1.086849,1.086569,1.08629,3,0,0,0,-0.00005,down
1.086842,1.086566,1.08629,3,0,0,0,-0.000049,no
1.086834,1.086558,1.086283,2,0,0,0,-0.000049,down
1.086827,1.086551,1.086276,2,0,-1,0,-0.000049,down
1.08682,1.086546,1.086272,2,0,0,0,-0.000048,down
1.086812,1.086542,1.086273,3,0,0,0,-0.000047,down
1.086794,1.086537,1.08628,3,0,0,0,-0.000046,down
1.086761,1.086523,1.086286,3,0,0,0,-0.000045,down
1.086738,1.08651,1.086282,3,0,-1,0,-0.000045,down
1.086766,1.086485,1.086204,2,0,-4,-1,-0.000047,down
1.086818,1.086453,1.086087,2,0,-4,-1,-0.000052,down
1.086907,1.086419,1.085931,2,0,-4,-1,-0.00006,down
1.086941,1.086394,1.085846,2,0,-3,-1,-0.000069,down
1.086964,1.086374,1.085784,2,0,-3,0,-0.000077,down
1.087009,1.086347,1.085684,2,0,-3,0,-0.000087,up
1.087047,1.086321,1.085594,1,-1,-3,0,-0.000097,up
1.087051,1.086286,1.085522,2,0,-2,0,-0.000106,down
1.087035,1.086257,1.085479,2,0,-1,0,-0.000114,down
1.087018,1.086223,1.085427,2,0,-1,0,-0.00012,down
1.086973,1.086184,1.085395,2,0,-1,0,-0.000126,down
1.086912,1.086152,1.085392,2,0,-1,0,-0.00013,down
1.086864,1.086108,1.085353,2,0,-1,0,-0.000134,down
1.086832,1.086065,1.085298,2,0,-2,0,-0.000139,down
1.086794,1.086019,1.085244,2,0,-2,0,-0.000144,up
1.08674,1.085968,1.085196,2,0,-2,0,-0.00015,up
1.086639,1.085917,1.085195,2,0,-2,0,-0.000155,up
1.086516,1.085861,1.085206,2,0,-2,0,-0.00016,up
1.086415,1.085809,1.085203,2,0,-2,0,-0.000165,up
1.086278,1.085767,1.085256,2,0,-2,0,-0.000169,up
1.086205,1.08574,1.085274,2,0,-1,0,-0.000171,up
1.086162,1.085721,1.085279,3,0,-1,0,-0.000171,up
1.086148,1.085713,1.085277,3,0,0,0,-0.000169,down
1.08611,1.085698,1.085287,3,0,0,0,-0.000165,no
1.086061,1.085684,1.085308,3,0,0,0,-0.00016,down
1.08605,1.08568,1.08531,3,0,0,0,-0.000155,up
1.086043,1.085678,1.085312,3,0,0,0,-0.000148,down
1.086024,1.085668,1.085313,2,0,0,0,-0.000142,down
1.085981,1.085657,1.085332,3,0,0,0,-0.000135,up
1.085958,1.085649,1.085339,3,0,0,0,-0.000129,down
1.085938,1.085643,1.085349,4,0,0,0,-0.000122,down
1.085872,1.085633,1.085393,4,0,0,0,-0.000115,down
1.085865,1.085629,1.085393,3,0,0,0,-0.000109,down
1.085873,1.085633,1.085394,4,0,0,0,-0.000103,down
1.085875,1.085632,1.085389,3,0,0,0,-0.000098,down
1.085871,1.085634,1.085397,3,0,-1,0,-0.000094,up
1.08587,1.085635,1.0854,3,0,-1,0,-0.000091,up
1.085856,1.085643,1.085429,3,0,0,0,-0.000088,up
1.08583,1.085648,1.085466,2,0,-1,0,-0.000086,up
1.085875,1.085638,1.0854,2,0,-4,-1,-0.000085,up
1.085902,1.085648,1.085393,3,0,0,0,-0.000082,up
1.085956,1.085662,1.085368,3,0,4,1,-0.000076,up
1.086015,1.085676,1.085337,3,0,4,1,-0.000068,up
1.086054,1.085689,1.085323,3,0,3,1,-0.000059,up
1.086107,1.085703,1.085299,4,0,3,1,-0.00005,up
1.086179,1.085722,1.085264,4,0,3,1,-0.000039,up
1.086256,1.085741,1.085227,4,0,3,1,-0.000027,up
1.086297,1.085761,1.085225,3,0,2,0,-0.000016,up
1.086358,1.085784,1.085211,4,0,2,0,-0.000004,up
1.086453,1.085816,1.08518,4,0,2,0,0.000008,up
1.086577,1.085853,1.085128,4,0,3,1,0.000021,up
1.086639,1.08588,1.085121,4,0,2,0,0.000034,up
1.086698,1.085914,1.085131,4,0,2,0,0.000045,up
1.086797,1.085956,1.085114,4,0,2,0,0.000058,up
1.086858,1.086004,1.08515,4,0,2,0,0.000069,up
1.086898,1.086051,1.085205,5,1,2,0,0.00008,up
1.086919,1.086095,1.085271,4,0,1,0,0.00009,up
1.086952,1.086142,1.085332,4,0,1,0,0.000099,up
1.086947,1.086193,1.085439,4,0,1,0,0.000107,up
1.086888,1.086259,1.085629,4,0,2,0,0.000114,up
1.086966,1.086311,1.085656,4,0,3,0,0.000123,down
1.087046,1.086359,1.085673,4,0,3,0,0.000133,down
1.087099,1.086403,1.085707,4,0,2,0,0.000142,down
1.08713,1.086449,1.085768,4,0,2,0,0.00015,down
1.087152,1.086491,1.08583,4,0,2,0,0.000157,up
1.087168,1.086526,1.085884,4,0,2,0,0.000162,up
1.087177,1.086558,1.085939,4,0,1,0,0.000166,up
1.087141,1.086593,1.086044,4,0,1,0,0.000168,up
1.087114,1.086623,1.086131,4,0,1,0,0.000168,up
1.087121,1.08665,1.086178,4,0,1,0,0.000168,no
1.087155,1.086673,1.086191,4,0,1,0,0.000168,up
1.087158,1.086706,1.086254,4,0,1,0,0.000168,up
1.087164,1.086739,1.086315,5,1,2,0,0.000168,up
1.087206,1.086766,1.086326,4,0,2,0,0.000169,down
1.087198,1.086783,1.086369,4,0,1,0,0.000168,up
1.087204,1.08681,1.086416,4,0,1,0,0.000167,down
1.087175,1.086836,1.086497,3,0,2,0,0.000165,down
1.08717,1.08686,1.086549,3,0,2,0,0.000163,down
1.08714,1.086882,1.086624,3,0,2,0,0.000161,down
1.087126,1.086896,1.086666,3,0,1,0,0.000158,down
1.087132,1.086891,1.08665,3,0,-1,0,0.000153,up
